source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
1.14954E+18,120.4241955,0.521551541,85.42768066,0.657418262,0.415790038,0.739406459,20.34916,1.4250565,,,NOT_AVAILABLE,,
1.14951E+18,118.6679809,0.205048237,85.13083675,0.30381915,1.272747067,0.279033092,19.399414,2.1973305,,,NOT_AVAILABLE,,
1.14951E+18,123.0931309,0.107508964,85.06341931,0.134136499,0.339396448,0.132364423,18.365595,0.3485012,,,NOT_AVAILABLE,,
1.1495E+18,116.3843472,0.050265054,85.00564867,0.071343077,0.129714088,0.072528722,17.011951,0.83870125,,,NOT_AVAILABLE,5780,0.567
1.14952E+18,121.6063078,0.145033198,85.07648732,0.176322521,0.796366808,0.19027868,18.904774,1.9218693,,,NOT_AVAILABLE,,
1.14954E+18,120.2764802,0.306372735,85.51800185,0.385963076,0.746902251,0.4324819,19.859251,1.7256718,,,NOT_AVAILABLE,,
1.14947E+18,125.5142171,0.881088456,85.04967093,1.052040397,0.806076067,0.783759619,20.761051,0.92713165,,,NOT_AVAILABLE,,
1.14954E+18,120.254629,0.370160357,85.5040696,0.449050014,2.339554232,0.491487321,20.041798,2.9460697,,,NOT_AVAILABLE,,
1.14954E+18,120.1225921,1.0467514,85.59152174,1.082598947,2.162058638,1.403174704,20.838303,1.8975487,,,NOT_AVAILABLE,,
1.14951E+18,117.2750495,0.589315166,85.07041137,0.612266272,1.23816542,0.680523133,20.369692,1.1654091,,,NOT_AVAILABLE,,
1.14947E+18,124.9444579,0.226990619,85.15944782,0.304354491,1.635214111,0.273950486,19.363983,2.6452332,,,NOT_AVAILABLE,,
1.14947E+18,125.9228275,0.167097359,85.10932384,0.191741038,0.613867115,0.189230009,18.939503,1.2498055,,,NOT_AVAILABLE,,
1.14953E+18,118.8951229,0.214830689,85.27654715,0.281524839,0.788509878,0.307584232,19.516865,1.5902958,,,NOT_AVAILABLE,,
1.14947E+18,125.557451,0.232943721,85.10956036,0.265077896,0.102992101,0.253950098,19.166386,0.77508354,,,NOT_AVAILABLE,,
1.14953E+18,118.7234604,0.152073679,85.21873297,0.201001304,0.777466216,0.212182203,18.751326,1.5888004,,,NOT_AVAILABLE,,
1.14947E+18,125.7489809,0.249950326,85.10558521,0.275251995,0.663325955,0.269345976,19.45103,1.7037678,,,NOT_AVAILABLE,,
1.14953E+18,119.9585112,0.323755466,85.2029563,0.384898578,0.566840544,0.45049872,19.97015,2.4781437,,,NOT_AVAILABLE,,
1.14954E+18,119.7978641,0.447434681,85.56180303,0.550485515,0.56562373,0.633358613,20.024466,2.0776138,,,NOT_AVAILABLE,,
1.14952E+18,123.4682407,0.405536383,85.200361,0.553137414,1.216282147,0.496118176,19.783365,2.5875854,,,NOT_AVAILABLE,,
1.14951E+18,117.5153383,0.357583045,85.17754448,0.594218641,-0.067370811,0.531033414,20.003315,1.4560604,,,NOT_AVAILABLE,,
1.14953E+18,120.848677,0.237706075,85.21193359,0.273170094,0.254644908,0.295581945,19.692385,1.4879036,,,NOT_AVAILABLE,,
1.14947E+18,125.5667628,0.680955858,85.04877662,0.868713978,0.802323755,0.607561135,20.524427,1.6707363,,,NOT_AVAILABLE,,
1.14952E+18,121.8039339,1.547898137,85.20184142,1.772694932,,,19.198317,1.6335125,,,NOT_AVAILABLE,,
1.14952E+18,123.390064,0.126442781,85.15957097,0.152294004,0.227376126,0.146535402,18.466656,1.2222061,,,NOT_AVAILABLE,,
1.14952E+18,121.5717928,0.5675013,85.09805215,0.69164726,0.268436186,0.74066121,20.594675,2.1081429,,,NOT_AVAILABLE,,
1.14947E+18,125.2488971,0.312013449,85.13895371,0.455506073,1.221796984,0.37202042,19.97704,2.371252,,,NOT_AVAILABLE,,
1.14952E+18,122.2247811,0.062936835,85.19467816,0.074821638,0.320429794,0.078467158,17.47464,0.82886124,,,NOT_AVAILABLE,,
1.14952E+18,120.6008569,0.211371687,85.12479832,0.262804975,0.748066932,0.283694646,19.412718,2.3246422,,,NOT_AVAILABLE,,
1.14953E+18,121.9803294,0.347375232,85.35145763,0.390353153,0.221858993,0.425806338,19.970964,1.4425564,,,NOT_AVAILABLE,,
